Model,Accuracy,Precision,Recall,F1-score,AUC,Balanced Accuracy
HistGradientBoostingClassifier,0.9002961500493584,0.7676565008025682,0.7054031354983202,0.7305801402490566,0.7054031354983202,0.7054031354983202
AdaBoostClassifier,0.9002961500493584,0.7680313267813268,0.7035997573721539,0.7294337606837606,0.7035997573721537,0.7035997573721539
GradientBoostingClassifier,0.8993089832181639,0.7664347224357988,0.6940229563269876,0.7220087815587266,0.6940229563269877,0.6940229563269876
RandomForestClassifier,0.9032576505429417,0.7859856661773594,0.6854423292273236,0.7206759555215415,0.6854423292273235,0.6854423292273236
MLPClassifier,0.9007897334649556,0.7765443929160126,0.6804357969391563,0.7142087167794109,0.6804357969391562,0.6804357969391563
LinearDiscriminantAnalysis,0.8943731490621916,0.7504469490866692,0.6804031354983202,0.7071059721295219,0.6804031354983202,0.6804031354983202
ExtraTreesClassifier,0.8988153998025666,0.7704724192927459,0.672102463605823,0.7058142294029941,0.672102463605823,0.672102463605823
BaggingClassifier,0.8919052319842053,0.7424877086564647,0.6717898469578201,0.6982796197605381,0.6717898469578201,0.6717898469578201
GaussianNB,0.866238894373149,0.687214179834106,0.7077267637178051,0.6965676329450203,0.7077267637178052,0.7077267637178051
MultinomialNB,0.8721618953603159,0.6937517121563688,0.6930524449421426,0.6934010413288716,0.6930524449421427,0.6930524449421426
ComplementNB,0.8558736426456071,0.674135796809096,0.7126679731243002,0.6899984908444563,0.7126679731243002,0.7126679731243002
QuadraticDiscriminantAnalysis,0.861796643632774,0.6778875176068146,0.6979936543486376,0.68701447740113,0.6979936543486376,0.6979936543486376
BernoulliNB,0.8144126357354393,0.6589372561594784,0.7775172639044419,0.6845224783780515,0.7775172639044419,0.7775172639044419
CalibratedClassifierCV,0.8983218163869694,0.7800821447914786,0.644771836506159,0.6828061919354054,0.644771836506159,0.644771836506159
LogisticRegressionCV,0.8968410661401777,0.7710049673542874,0.6457353490108249,0.6822142052503244,0.645735349010825,0.6457353490108249
LogisticRegression,0.8958538993089832,0.7682256338620927,0.6397653042179918,0.6759296952881287,0.6397653042179918,0.6397653042179918
NearestCentroid,0.7941757156959526,0.6547407420926794,0.7966965285554312,0.6755662619510908,0.7966965285554313,0.7966965285554312
DecisionTreeClassifier,0.857847976307996,0.6659073089990417,0.677720231429638,0.6714594594594594,0.6777202314296379,0.677720231429638
RidgeClassifier,0.8978282329713722,0.7912698629016872,0.6246547219111609,0.6631997397997904,0.6246547219111608,0.6246547219111609
RidgeClassifierCV,0.8973346495557749,0.7892989295625743,0.6225713885778276,0.66065072651899,0.6225713885778275,0.6225713885778276
ExtraTreeClassifier,0.8529121421520237,0.6521559206170254,0.6586902762224711,0.6553005389604458,0.6586902762224711,0.6586902762224711
GaussianProcessClassifier,0.8622902270483712,0.6600178470412952,0.640565509518477,0.6492232078861389,0.6405655095184771,0.640565509518477
Perceptron,0.8800592300098716,0.6943451398161309,0.5947391750653228,0.6190512300488955,0.5947391750653228,0.5947391750653228
SVC,0.8919052319842053,0.7805397560114541,0.5834243187756626,0.6117602278544146,0.5834243187756626,0.5834243187756626
PassiveAggressiveClassifier,0.8953603158933859,0.8391396761133603,0.5781704927211646,0.6063062567599773,0.5781704927211647,0.5781704927211646
SGDClassifier,0.6959526159921027,0.6210807504078304,0.7770530048525569,0.6015885177239759,0.7770530048525569,0.7770530048525569
LinearSVC,0.8889437314906219,0.8450274862568716,0.5402668906308324,0.5457648061142638,0.5402668906308323,0.5402668906308324
LabelPropagation,0.8489634748272458,0.5198348445595855,0.5085736282194848,0.5034695525142242,0.5085736282194848,0.5085736282194848
LabelSpreading,0.8489634748272458,0.5198348445595855,0.5085736282194848,0.5034695525142242,0.5085736282194848,0.5085736282194848
DummyClassifier,0.8815399802566634,0.4407699901283317,0.5,0.46852046169989503,0.5,0.5
